record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000634,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Solanum rostratum pollination ecology and mating-system thesis does not establish a focal plant antagonist/exploiter response.
SCHPRISMA-000635,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Cacao pollination/spatial-genetics dissertation concerns pollinator ecology and population structure without a focal antagonist/exploiter channel.
SCHPRISMA-000636,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Broad pollination-ecology future-research review is not focused on a plant pollinator-antagonist floral coordinate and does not supply a focal antagonist channel.
SCHPRISMA-000637,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Primary Clerodendrum study measures hawkmoth pollination plus primary nectar robbing by Xylocopa/Anthophora bees and floral morphology; retain for pollinator-robber role adjudication.
SCHPRISMA-000638,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Primary Silene latifolia experiment shows pollination accelerates floral-scent shutdown in a nursery-pollinator seed-predator system, explicitly linking attraction benefit with parasitism risk; retain for coupled-role signal-cost adjudication."
SCHPRISMA-000639,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,"Dissertation explicitly evaluates pollination, herbivory, habitat fragmentation and reproductive fitness of Angadenia berteroi; retain for multi-agent/common-fitness source adjudication."
SCHPRISMA-000640,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,New Phytologist forum commentary on Caryophyllaceae pollination mutualisms is a short commentary rather than an independent primary study or substantive review; underlying research/review sources are handled separately.
SCHPRISMA-000641,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Iochroma pollination-syndrome/floral-diversity study concerns pollinator shifts without a focal antagonist/exploiter response.
SCHPRISMA-000642,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Primary Cucurbita experiment tests attraction of specialist pollinators and herbivorous cucumber beetles to the same floral volatiles; retain as a strong shared-signal mutualist-antagonist candidate.
SCHPRISMA-000643,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_H_SCREEN_V45_2026-09-26,Fragmented-grassland dissertation concerns pollinator communities and plant-pollinator interactions without a focal plant antagonist/exploiter channel.
