record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000527,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,General review of natural selection in plants is too broad for the registered pollinator-antagonist floral evidence question and is not an independent focal primary study.
SCHPRISMA-000530,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Focused mini-review of nectar chemistry explicitly treats attraction of pollinating mutualists and chemical protection against nectar robbers/microbial exploiters; retain as relevant multifunctional nectar synthesis.
SCHPRISMA-000531,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Primary hummingbird-pollinated nectar study measures legitimate nectar removal, simulated nectar robbing and plant responses/seed set; retain and resolve report identity with SCHPRISMA-000532 at full text."
SCHPRISMA-000532,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Alternate DOI/report identity for the same Biotropica hummingbird-pollinated nectar/robbing study; retain at TA stage and resolve duplicate-report status explicitly at full text.
SCHPRISMA-000533,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Focused review of nectar-mediated plant-insect mutualisms covers pollination, cheating/exploitation, indirect defence and partner manipulation; retain as relevant synthesis/source-chasing material."
SCHPRISMA-000534,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Nectar-bacteria experiment measures olfactory response of an insect parasitoid; no focal pollinator response/service is measured.
SCHPRISMA-000535,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Primary trainbearer study classifies hummingbird visits as robbing, theft or pollination and quantifies role frequencies; retain for consumer-role switching/boundary adjudication."
SCHPRISMA-000536,EXCLUDE,TA_NO_ANTAGONIST_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Nectar-microbe experiment measures microbial alteration of nectar chemistry and effects on pollinator consumption, but no focal plant antagonist/exploiter response is measured."
SCHPRISMA-000537,EXCLUDE,TA_NOT_FLORAL_SIGNAL,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Nectar-robbing experiment uses nectar microbial community composition as the focal response; it does not evaluate a plant floral trait or plant reproductive outcome.
SCHPRISMA-000539,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Primary Campsidium study relates floral morphology to nectar-robbery incidence in a hummingbird-pollinated plant and distinguishes bumblebee/bird robbers; retain for floral-trait/robbery adjudication.
SCHPRISMA-000541,EXCLUDE,TA_NO_POLLINATOR_COMPONENT,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Galápagos Kalanchoe study quantifies nectar robbing, floral traits and fruit set in a system where effective legitimate pollination is absent/rare; the focal study does not measure a pollinator service response."
SCHPRISMA-000544,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Primary Volkameria study records legitimate butterfly/moth pollination, primary nectar-robbing bees, altered pollinator foraging and seed-set consequences; retain for pollinator-robber role adjudication."
SCHPRISMA-000545,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Primary Tecoma study compares robbed/unrobbed flowers and tests effects of nectar robbery on legitimate pollinator visitation; retain for robbery-context/pollinator-response adjudication.
SCHPRISMA-000547,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,"Primary Collaea study characterizes legitimate hummingbird pollinators and nectar robbers, robbery damage, visitation and reproductive consequences; retain for pollinator-robber/fitness adjudication."
SCHPRISMA-000551,RETAIN_FULLTEXT,,SOURCE_VERIFIED_TA3_BATCH_E_SCREEN_V42_2026-09-26,Primary ant-plant study tests the indirect pollination cost of a defensive ant mutualism; retain for coupled mutualism-cost and pollinator-interference adjudication.
