record_id,screen_title_abstract,screen_title_abstract_reason,decision_source,decision_note
SCHPRISMA-000105,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary blueberry study links floral morphology to pollinator visitation and nectar-robbing behavioural patterns; retain for role-dependent trait coding."
SCHPRISMA-000116,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Conceptual model plus empirical test explicitly compares pollinator and nectar-robber selection and adaptive pollen limitation."
SCHPRISMA-000131,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Focused review of floral volatiles covers pollination and herbivore/other functions; retain to code its secondary source role without counting it as primary evidence."
SCHPRISMA-000132,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary Silene–Hadena study evaluates oviposition choices and consequences in a pollinating seed-predator system."
SCHPRISMA-000146,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Comparative population-genetic study in a plant–pollinator/seed-predator system could inform spatial and historical coupling; focal floral coordinate is deferred to full text."
SCHPRISMA-000147,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Comparative Pedicularis study measures flower traits, pollinator visitation and seed production; abstract antagonist signal is uncertain, so protocol retains for full-text adjudication."
SCHPRISMA-000152,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Functional exploration of flower morphospace addresses plant–pollinator evolutionary conflict; retain under uncertainty to determine whether exploitative/antagonistic pollinator states are directly analyzed."
SCHPRISMA-000155,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary pollen-reward study directly tests consequences of pollen defence compounds for pollinators and antagonists."
SCHPRISMA-000161,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary foraging study jointly evaluates pollinators and seed predators under resource-concentration/dilution contexts."
SCHPRISMA-000164,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary nursery-pollination study tests pathogen-induced floral/reward changes and oviposition by a pollinating seed predator."
SCHPRISMA-000165,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary experiment links nectar-robber-triggered corolla abscission to self-pollination and reproduction."
SCHPRISMA-000168,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary distylous-plant study relates herbivore-resistance and pollination traits to pollination and nectar robbing."
SCHPRISMA-000170,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary study of alternative food-handling tactics explains facultative exploitation/nectar robbing within pollination mutualisms."
SCHPRISMA-000171,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Dissertation contains primary work on coupled reproductive ecology in a plant–pollinator/seed-predator system; retain for chapter and independence coding."
SCHPRISMA-000173,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary crop-domestication study measures floral reward chemistry and pollinator consequences; herbivore/defence relevance is uncertain and is deferred to full text rather than excluded."
SCHPRISMA-000176,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary cucurbit study directly measures antagonistic cucumber-beetle effects on pollinator visitation to flowers."
SCHPRISMA-000181,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Dryad dataset record, not an independent report; the associated publication remains eligible as its own bibliographic record."
SCHPRISMA-000191,EXCLUDE,TA_NOT_PRIMARY_OR_RELEVANT_SYNTHESIS,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"eLife decision-letter object rather than an independent primary study or synthesis."
SCHPRISMA-000199,RETAIN_FULLTEXT,,ASSISTED_OPENALEX_ABSTRACT_SCREEN_2026-08-30,"Primary bird–flower network study explicitly separates mutualistic and antagonistic interaction subnetworks; retain for spatial/network and floral-coordinate adjudication."
